Novel Title,Novel year of publication,Author,Author Birth,Author Death,Period,Count,Z Score,Corpus ID,Gutenberg ID
Moby-Dick,1851,"Melville, Herman",1819,1891,1800-1899,1459,22.57366,melville_mobydick_1851,15
The Great Gatsby,1925,"Fitzgerald, F. Scott",1896,1940,1900-1999,778,16.60289,fitzgerald_the-great-gatsby_1925,64317
The Adventures of Huckleberry Finn,1884,"Twain, Mark",1835,1910,1800-1899,1005,15.491664,twain_the-adventures-of-huckleberry_1884,32325
The Sound and the Fury,1929,"Faulkner, William",1897,1962,1900-1999,620,13.181933,faulkner_the-sound-and-the-fury_1929,75170
The Scarlet Letter,1850,"Hawthorne, Nathaniel",1804,1864,1800-1899,782,12.013062,hawthorne_the-scarlet-letter_1850,25344
Uncle Tom's Cabin,1852,"Stowe, Harriet Beecher",1811,1896,1800-1899,610,9.330015,stowe_uncle-toms-cabin_1852,203
As I Lay Dying,1930,"Faulkner, William",1897,1962,1900-1999,387,8.137103,faulkner_as-i-lay-dying_1930,
The Sun Also Rises,1926,"Hemingway, Ernest",1899,1961,1900-1999,372,7.812329,hemingway_the-sun-also-rises_1926,67138
The House of Mirth,1905,"Wharton, Edith",1862,1937,1900-1999,349,7.314341,wharton_the-house-of-mirth_1905,284
My Ántonia,1918,"Cather, Willa",1873,1947,1900-1999,343,7.184432,cather_my-antonia_1918,242
The Awakening,1899,"Chopin, Kate",1851,1904,1800-1899,461,7.005747,chopin_the-awakening_1899,160
The Portrait of a Lady,1881,"James, Henry, Jr.",1843,1916,1800-1899,444,6.740562,james_the-portrait-of-a-lady_1881,2833
The Portrait of a Lady,1881,"James, Henry, Jr.",1843,1916,1800-1899,444,6.740562,james_the-portrait-of-a-lady_1881,2834
The Ambassadors,1903,"James, Henry, Jr.",1843,1916,1900-1999,314,6.556534,james_the-ambassadors_1903,432
A Farewell to Arms,1929,"Hemingway, Ernest",1899,1961,1900-1999,294,6.123502,hemingway_a-farewell-to-arms_1929,75201
The Golden Bowl,1904,"James, Henry, Jr.",1843,1916,1900-1999,286,5.950289,james_the-golden-bowl_1904,4264
Sister Carrie,1900,"Dreiser, Theodore",1871,1945,1900-1999,277,5.755424,dreiser_sister-carrie_1900,233
Wieland,1798,"Brown, Charles Brockden",1771,1810,1700-1799,143,5.719613,brown_wieland_1798,792
The Wings of the Dove,1902,"James, Henry, Jr.",1843,1916,1900-1999,262,5.43065,james_the-wings-of-the-dove_1902,29452
The Wings of the Dove,1902,"James, Henry, Jr.",1843,1916,1900-1999,262,5.43065,james_the-wings-of-the-dove_1902,30059
The Wonderful Wizard of Oz,1900,"Baum, L. Frank",1856,1919,1900-1999,257,5.322392,baum_the-wonderful-wizard-of-oz_1900,55
The Professor's House,1925,"Cather, Willa",1873,1947,1900-1999,244,5.04092,cather_the-professors-house_1925,65465
Pierre,1852,"Melville, Herman",1819,1891,1800-1899,302,4.525489,melville_pierre_1852,34970
Passing,1929,"Larsen, Nella",1893,1963,1900-1999,215,4.413023,larsen_passing_1929,
Edgar Huntly,1799,"Brown, Charles Brockden",1771,1810,1700-1799,110,4.310351,brown_edgar-huntly_1799,8223
The Age of Innocence,1920,"Wharton, Edith",1862,1937,1900-1999,207,4.23981,wharton_the-age-of-innocence_1920,541
The Pilgrim's Progress,1678,"Bunyan, John",1628,1688,1600-1699,33,4.225351,bunyan_the-pilgrims-progress_1678,
Quicksand,1928,"Larsen, Nella",1893,1963,1900-1999,188,3.828429,larsen_quicksand_1928,
The Confidence-Man,1857,"Melville, Herman",1819,1891,1800-1899,249,3.698736,melville_the-confidenceman_1857,21816
The Blithedale Romance,1852,"Hawthorne, Nathaniel",1804,1864,1800-1899,243,3.605141,hawthorne_the-blithedale-romance_1852,2081
A Connecticut Yankee in King Arthur's Court,1889,"Twain, Mark",1835,1910,1800-1899,240,3.558344,twain_a-connecticut-yankee-in-king_1889,19506
Typee,1846,"Melville, Herman",1819,1891,1800-1899,236,3.495947,melville_typee_1846,1900
The House of the Seven Gables,1851,"Hawthorne, Nathaniel",1804,1864,1800-1899,231,3.417952,hawthorne_the-house-of-the-seven-gables_1851,77
Little Women,1868,"Alcott, Louisa May",1832,1888,1800-1899,230,3.402353,alcott_little-women_1868,37106
The Red Badge of Courage,1895,"Crane, Stephen",1871,1900,1800-1899,230,3.402353,crane_the-red-badge-of-courage_1895,73
The Marble Faun,1860,"Hawthorne, Nathaniel",1804,1864,1800-1899,223,3.293159,hawthorne_the-marble-faun_1860,2181
The Marble Faun,1860,"Hawthorne, Nathaniel",1804,1864,1800-1899,223,3.293159,hawthorne_the-marble-faun_1860,2182
The Autobiography of an Ex-Colored Man,1912,"Johnson, James Weldon",1871,1938,1900-1999,160,3.222184,johnson_the-autobiography-of-an_1912,11012
Death Comes for the Archbishop,1927,"Cather, Willa",1873,1947,1900-1999,158,3.17888,cather_death-comes-for-the-archbishop_1927,69730
