Author,Author Birth,Author Death,VIAF ID,Gender
"Melville, Herman",1819,1891,27068555,male
"Fitzgerald, F. Scott",1896,1940,100254195,male
"Twain, Mark",1835,1910,50566653,male
"Faulkner, William",1897,1962,39376770,male
"Hawthorne, Nathaniel",1804,1864,44435463,male
"Stowe, Harriet Beecher",1811,1896,32003151,female
"Hemingway, Ernest",1899,1961,97006051,male
"Wharton, Edith",1862,1937,17230986,female
"Cather, Willa",1873,1947,2480701,female
"Chopin, Kate",1851,1904,46758932,female
"James, Henry, Jr.",1843,1916,36920030,male
"Dreiser, Theodore",1871,1945,4944366,male
"Brown, Charles Brockden",1771,1810,49222478,male
"Baum, L. Frank",1856,1919,4926394,male
"Larsen, Nella",1893,1963,66606242,female
"Bunyan, John",1628,1688,71388170,male
"Alcott, Louisa May",1832,1888,29528997,female
"Crane, Stephen",1871,1900,100175928,male
"Johnson, James Weldon",1871,1938,9866919,male
"Foster, Hannah Webster",1759,1840,71444079,female
"Poe, Edgar Allan",1809,1849,60351476,male
"Rowson, Susanna",1762,1824,32830310,female
"Chesnutt, Charles W.",1858,1932,22198527,male
"Cooper, James Fenimore",1789,1851,27062769,male
"Wolfe, Thomas",1900,1938,54155795,male
"Gilman, Charlotte Perkins",1860,1935,59083135,female
"Norris, Frank",1870,1902,12341457,male
"Bellamy, Edward",1850,1898,69017465,male
"Burnett, Frances Hodgson",1849,1924,27061925,female
"Dos Passos, John",1896,1970,41839211,male
"Spenser, Edmund",1552,1599,100170015,male
"Lewis, Sinclair",1885,1951,39380311,male
"Hammett, Dashiell",1894,1961,73854531,male
"Hopkins, Pauline E.",1859,1930,4.41414919837168E+021,female
"Brown, William Hill",1765,1793,36964206,male
"Wister, Owen",1860,1938,100961029,male
"Brackenridge, Hugh Henry",1748,1816,4995705,male
"Howells, William Dean",1837,1920,95191935,male
"Stein, Gertrude",1874,1946,22149082,female
"Sedgwick, Catharine Maria",1789,1867,68954793,female
"Jacobs, Harriet Ann",1813,1897,46797650,female
"Harper, Frances Ellen Watkins",1825,1911,68964118,female
"McKay, Claude",1890,1948,2489725,male
"Delany, Martin Robison",1812,1885,196103467,male
"Sinclair, Upton",1878,1968,32002923,male
"Brown, William Wells",1814,1884,100281554,male
"Ruiz de Burton, María Amparo",1832,1895,23236334,female
"London, Jack",1876,1916,46764200,male
"Tyler, Royall",1757,1826,51840046,male
"Du Bois, W. E. B.",1868,1963,34476326,male
"Warner, Susan",1819,1885,19811800,female
"Glasgow, Ellen",1873,1945,69040787,female
"Yezierska, Anzia",1885,1970,88051032,female
"Cable, George Washington",1844,1925,25995,male
"Rowlandson, Mary",1635,1711,41955546,female
"Jackson, Helen Hunt",1830,1885,32039190,female
"Thoreau, Henry David",1817,1862,68936476,male
"Frederic, Harold",1856,1898,22251233,male
"Dixon, Thomas",1864,1946,61588899,male
"Fauset, Jessie Redmon",1886,1961,49261062,female
"Douglass, Frederick",1817,1895,10088,male
"Cummings, E. E.",1894,1962,12306931,male
"Loos, Anita",1888,1981,56711909,female
"Griggs, Sutton E.",1872,1933,114534904,male
"Cahan, Abraham",1860,1951,73968086,male
"Stoddard, Elizabeth Drew",1823,1902,7616478,female
"Barnes, Djuna",1892,1982,110217112,female
"Rølvaag, Ole Edvart",1876,1931,5727205,male
"Wallace, Lew",1827,1905,97214081,male
"Dunbar, Paul Laurence",1872,1906,76335432,male
"Griffith, D. W.",1875,1948,59091371,male
"Toomer, Jean",1894,1967,2489741,male
"Ridge, John Rollin",1827,1867,77117127,male
"Burroughs, Edgar Rice",1875,1950,17220001,male
"Porter, Eleanor H.",1868,1920,2511310,female
"Lippard, George",1822,1854,52753369,male
"Whitman, Walt",1819,1892,2478331,male
"Anderson, Sherwood",1876,1941,39372890,male
"Child, Lydia Maria",1802,1880,73891035,female
"Gold, Michael",1893,1967,100338915,male
"Ward, Elizabeth Stuart Phelps",1844,1911,107033082,female
"Fern, Fanny",1811,1872,54174466,female
"Raleigh, Eve",1903,1978,2.49114585700392E+021,female
"Roberts, Elizabeth Madox",1886,1941,121828611,female
"Imlay, Gilbert",1754,1828,29879965,male
"Adams, Henry Brooks",1838,1918,73867271,male
"Callahan, S. Alice",1868,1894,80688864,female
"Southworth, E. D. E. N.",1819,1899,30349158,female
"Webb, Frank J.",1847,,59300120,male
"Hughes, Langston",1902,1967,44315795,male
"Kelley, Edith Summers",1884,1956,91942937,female
"Jefferson, Thomas",1743,1826,41866059,male
"Warner, Charles Dudley",1829,1900,36956815,male
"Rihani, Ameen Fares",1876,1940,17374300,male
"Thurman, Wallace",1902,1934,7.14585777502302E+018,male
"Tenney, Tabitha",1762,1837,44382316,female
"Van Vechten, Carl",1880,1964,5056030,male
"Alger, Horatio, Jr.",1832,1899,64334817,male
"Jewett, Sarah Orne",1849,1909,44336104,female
"Sansay, Leonora",1781,,56552184,female
"De Forest, John William",1826,1906,37275694,male
"Venegas, Daniel",,,61716195,male
"Tourgée, Albion W.",1838,1905,49272755,male
"Smedley, Agnes",1890,1950,1.11146462671628E+020,female
"Cummins, Maria Susanna",1827,1866,9967425,female
"Wilson, Harriet E.",1825,1900,287241427,female
"Bird, Robert Montgomery",1806,1854,71722323,male
"Simms, William Gilmore",1806,1870,39392170,male
"Heidegger, Martin",1889,1976,24602613,male
"Collins, Julia C.",1865,,70120838,female
"James, William",1842,1910,56625773,male
"Page, Thomas Nelson",1853,1922,39470501,male
"Doolittle, Hilda",1886,1961,4925150,female
"Emerson, Ralph Waldo",1803,1882,27079964,male
"Holmes, Oliver Wendell",1809,1894,7405944,male
"Mann, Mary Tyler Peabody",1806,1887,44473907,female
"McCulley, Johnston",1883,1958,54166682,male
"Tarkington, Booth",1869,1944,54154708,male
"Davis, Rebecca Harding",1831,1910,24672577,female
"Rush, Rebecca",1812,,41033572,female
"Sheldon, Charles Monroe",1857,1946,23027718,male
"Veblen, Thorstein",1857,1929,71451539,male
"Aldrich, Thomas Bailey",1836,1907,67259007,male
"Evans, Augusta Jane",1835,1909,37129694,female
"Frazer, Sir James George",1854,1941,31996454,male
"Longfellow, Henry Wadsworth",1807,1882,54150826,male
"Turner, Nat",1800,1831,79400203,male
